sku,type,sapo_available,sapo_remain
FM-ACSL01-HP-S-FM-QDSL02-HP-L,combo,110,0
FM-ACSL01-HP-S-FM-QDSL02-HP-M,combo,112,0
FM-ACSL01-HP-S-FM-QDSL02-HP-S,combo,112,0
FM-ACSL01-VP-XL-FM-QDSL01-VP-XL,combo,0,0
FM-ACSL01-VP-XL-FM-QDSL01-VP-L,combo,0,0
FM-ACSL01-VP-XL-FM-QDSL01-VP-M,combo,0,0
FM-ACSL01-VP-XL-FM-QDSL01-VP-S,combo,0,0
FM-ACSL01-VP-L-FM-QDSL01-VP-XL,combo,48,0
FM-ACSL01-VP-L-FM-QDSL01-VP-L,combo,48,0
FM-ACSL01-VP-L-FM-QDSL01-VP-M,combo,48,0
FM-ACSL01-VP-L-FM-QDSL01-VP-S,combo,48,0
FM-ACSL01-VP-M-FM-QDSL01-VP-XL,combo,48,0
FM-ACSL01-VP-M-FM-QDSL01-VP-L,combo,63,0
FM-ACSL01-VP-M-FM-QDSL01-VP-M,combo,63,0
FM-ACSL01-VP-M-FM-QDSL01-VP-S,combo,63,0
FM-ACSL01-VP-S-FM-QDSL01-VP-XL,combo,48,0
FM-ACSL01-VP-S-FM-QDSL01-VP-L,combo,77,0
FM-ACSL01-VP-S-FM-QDSL01-VP-M,combo,83,0
FM-ACSL01-VP-S-FM-QDSL01-VP-S,combo,83,0
FM-ATSL01-XP-XL-FM-QDSL01-XP-XL,combo,15,0
FM-ATSL01-XP-XL-FM-QDSL01-XP-L,combo,15,0
FM-ATSL01-XP-XL-FM-QDSL01-XP-M,combo,15,0
FM-ATSL01-XP-XL-FM-QDSL01-XP-S,combo,15,0
FM-ATSL01-XP-L-FM-QDSL01-XP-XL,combo,46,0
FM-ATSL01-XP-L-FM-QDSL01-XP-L,combo,46,0
FM-ATSL01-XP-L-FM-QDSL01-XP-M,combo,46,0
FM-ATSL01-XP-L-FM-QDSL01-XP-S,combo,46,0
FM-ATSL01-XP-M-FM-QDSL01-XP-XL,combo,49,0
FM-ATSL01-XP-M-FM-QDSL01-XP-L,combo,75,0
FM-ATSL01-XP-M-FM-QDSL01-XP-M,combo,93,0
FM-ATSL01-XP-M-FM-QDSL01-XP-S,combo,93,0
FM-ATSL01-XP-S-FM-QDSL01-XP-XL,combo,48,0
FM-ATSL01-XP-S-FM-QDSL01-XP-L,combo,74,0
FM-ATSL01-XP-S-FM-QDSL01-XP-M,combo,99,0
FM-ATSL01-XP-S-FM-QDSL01-XP-S,combo,99,0
FM-BRSL01-HP-XL-FM-QDSL01-HP-XL,combo,59,0
FM-BRSL01-HP-XL-FM-QDSL01-HP-L,combo,113,0
FM-BRSL01-HP-XL-FM-QDSL01-HP-M,combo,112,0
FM-BRSL01-HP-XL-FM-QDSL01-HP-S,combo,112,0
FM-BRSL01-HP-L-FM-QDSL01-HP-XL,combo,59,0
FM-BRSL01-HP-L-FM-QDSL01-HP-L,combo,117,0
FM-BRSL01-HP-L-FM-QDSL01-HP-M,combo,165,0
FM-BRSL01-HP-L-FM-QDSL01-HP-S,combo,168,0
FM-BRSL01-HP-M-FM-QDSL01-HP-XL,combo,59,0
FM-BRSL01-HP-M-FM-QDSL01-HP-L,combo,117,0
FM-BRSL01-HP-M-FM-QDSL01-HP-M,combo,165,0
FM-BRSL01-HP-M-FM-QDSL01-HP-S,combo,168,0
FM-BRSL01-HP-S-FM-QDSL01-HP-XL,combo,59,0
FM-BRSL01-HP-S-FM-QDSL01-HP-L,combo,117,0
FM-BRSL01-HP-S-FM-QDSL01-HP-M,combo,165,0
FM-BRSL01-HP-S-FM-QDSL01-HP-S,combo,167,0
FM-BRSL01-HP-XL-FM-QDSL02-HP-XL,combo,58,0
FM-BRSL01-HP-XL-FM-QDSL02-HP-L,combo,111,0
FM-BRSL01-HP-XL-FM-QDSL02-HP-M,combo,113,0
FM-BRSL01-HP-XL-FM-QDSL02-HP-S,combo,113,0
FM-BRSL01-HP-L-FM-QDSL02-HP-XL,combo,58,0
FM-BRSL01-HP-L-FM-QDSL02-HP-L,combo,112,0
FM-BRSL01-HP-L-FM-QDSL02-HP-M,combo,165,0
FM-BRSL01-HP-L-FM-QDSL02-HP-S,combo,158,0
FM-BRSL01-HP-M-FM-QDSL02-HP-XL,combo,58,0
FM-BRSL01-HP-M-FM-QDSL02-HP-L,combo,112,0
FM-BRSL01-HP-M-FM-QDSL02-HP-M,combo,165,0
FM-BRSL01-HP-M-FM-QDSL02-HP-S,combo,158,0
FM-BRSL01-HP-S-FM-QDSL02-HP-XL,combo,58,0
FM-BRSL01-HP-S-FM-QDSL02-HP-L,combo,112,0
FM-BRSL01-HP-S-FM-QDSL02-HP-M,combo,165,0
FM-BRSL01-HP-S-FM-QDSL02-HP-S,combo,158,0
FM-ACSL01-HP-XL-FM-QDSL01-HP-XL,combo,0,0
FM-ACSL01-HP-XL-FM-QDSL01-HP-L,combo,0,0
FM-ACSL01-HP-XL-FM-QDSL01-HP-M,combo,0,0
FM-ACSL01-HP-XL-FM-QDSL01-HP-S,combo,0,0
FM-ACSL01-HP-L-FM-QDSL01-HP-XL,combo,59,0
FM-ACSL01-HP-L-FM-QDSL01-HP-L,combo,78,0
FM-ACSL01-HP-L-FM-QDSL01-HP-M,combo,77,0
FM-ACSL01-HP-L-FM-QDSL01-HP-S,combo,77,0
FM-ACSL01-HP-M-FM-QDSL01-HP-XL,combo,59,0
FM-ACSL01-HP-M-FM-QDSL01-HP-L,combo,95,0
FM-ACSL01-HP-M-FM-QDSL01-HP-M,combo,94,0
FM-ACSL01-HP-M-FM-QDSL01-HP-S,combo,94,0
FM-ACSL01-HP-S-FM-QDSL01-HP-XL,combo,59,0
FM-ACSL01-HP-S-FM-QDSL01-HP-L,combo,112,0
FM-ACSL01-HP-S-FM-QDSL01-HP-M,combo,111,0
FM-ACSL01-HP-S-FM-QDSL01-HP-S,combo,111,0
