sku,type,sapo_available,shopify_available,diff,sapo_remain,shopify_remain
FM-ATSP01-HP-M,normal,11,1,10,0,1
FM-ATSP01-HP-S,normal,91,1,90,0,1
FM-ATSP01-HP-XL,normal,126,1,125,0,1
FM-BCTR01-DE-KL,normal,232,1,231,0,1
FM-BCTR01-TR-KL,normal,239,1,238,0,1
FM-BCTR01-WG-KL,normal,195,1,194,0,1
FM-BCTR01-BN-KL,normal,207,1,206,0,1
FM-MNDN01-BN-KL,normal,584,1,583,0,1
FM-MNDN01-TR-KL,normal,425,1,424,0,1
FM-MNDN01-DE-KL,normal,410,1,409,0,1
FM-BDTN01-DE-KL,normal,560,1,559,0,1
FM-BDTN01-TR-KL,normal,579,1,578,0,1
FM-BDTN01-WG-KL,normal,611,1,610,0,1
FM-BDTN01-BN-KL,normal,423,1,422,0,1
FM-DNSP02-NN-XL,normal,155,1,154,0,1
FM-DNSP02-NN-S,normal,127,1,126,0,1
FM-DNSP02-NN-M,normal,195,1,194,0,1
FM-DNSP02-NN-L,normal,284,1,283,0,1
FM-DNSP02-TN-XL,normal,47,1,46,0,1
FM-DNSP02-TN-S,normal,24,1,23,0,1
FM-DNSP02-TN-L,normal,29,1,28,0,1
FM-DNSP02-BN-L,normal,91,1,90,0,1
FM-DNSP02-BN-M,normal,61,1,60,0,1
FM-DNSP02-BN-S,normal,78,1,77,0,1
FM-DNSP02-BN-XL,normal,20,1,19,0,1
FM-DNSP02-TR-L,normal,65,1,64,0,1
FM-DNSP02-TR-M,normal,34,1,33,0,1
FM-DNSP02-TR-S,normal,25,1,24,0,1
FM-DNSP02-TR-XL,normal,64,1,63,0,1
FM-DSSP02-NN-XL,normal,97,1,96,0,1
FM-DSSP02-NN-S,normal,161,1,160,0,1
FM-DSSP02-NN-M,normal,67,1,66,0,1
FM-DSSP02-NN-L,normal,141,1,140,0,1
FM-DSSP02-TN-S,normal,2,1,1,0,1
FM-DSSP02-BN-L,normal,132,1,131,0,1
FM-DSSP02-BN-M,normal,171,1,170,0,1
FM-DSSP02-BN-S,normal,178,1,177,0,1
FM-DSSP02-BN-XL,normal,95,1,94,0,1
FM-DSSP02-TR-L,normal,31,1,30,0,1
FM-DSSP02-TR-M,normal,14,1,13,0,1
FM-DSSP02-TR-S,normal,40,1,39,0,1
FM-DSSP02-TR-XL,normal,39,1,38,0,1
FM-VXSP02-NN-XL,normal,44,1,43,0,1
FM-VXSP02-NN-S,normal,108,1,107,0,1
FM-VXSP02-NN-M,normal,0,1,-1,0,1
FM-VXSP02-NN-L,normal,43,1,42,0,1
FM-VXSP02-BN-L,normal,169,1,168,0,1
FM-VXSP02-BN-M,normal,54,1,53,0,1
FM-VXSP02-BN-S,normal,144,1,143,0,1
FM-VXSP02-BN-XL,normal,34,1,33,0,1
FM-VXSP02-TR-L,normal,68,1,67,0,1
FM-VXSP02-TR-M,normal,84,1,83,0,1
FM-VXSP02-TR-S,normal,104,1,103,0,1
FM-VXSP02-TR-XL,normal,88,1,87,0,1
FM-DXSP01-NN-XL,normal,60,1,59,0,1
FM-DXSP01-NN-S,normal,45,1,44,0,1
FM-DXSP01-NN-M,normal,20,1,19,0,1
FM-DXSP01-NN-L,normal,22,1,21,0,1
FM-DXSP01-TN-XL,normal,73,1,72,0,1
FM-DXSP01-TN-L,normal,4,1,3,0,1
FM-DXSP01-BN-L,normal,24,1,23,0,1
FM-DXSP01-BN-M,normal,17,1,16,0,1
FM-DXSP01-BN-S,normal,29,1,28,0,1
FM-DXSP01-BN-XL,normal,76,1,75,0,1
FM-DXSP01-TR-L,normal,2,1,1,0,1
FM-DXSP01-TR-XL,normal,71,1,70,0,1
FM-DPSP01-NN-XL,normal,28,1,27,0,1
FM-DPSP01-NN-S,normal,76,1,75,0,1
FM-DPSP01-NN-M,normal,119,1,118,0,1
FM-DPSP01-NN-L,normal,166,1,165,0,1
FM-DPSP01-TN-XL,normal,56,1,55,0,1
FM-DPSP01-TN-S,normal,20,1,19,0,1
FM-DPSP01-TN-M,normal,38,1,37,0,1
FM-DPSP01-TN-L,normal,90,1,89,0,1
FM-DPSP01-BN-L,normal,91,1,90,0,1
FM-DPSP01-BN-M,normal,171,1,170,0,1
FM-DPSP01-BN-S,normal,45,1,44,0,1
FM-DPSP01-BN-XL,normal,0,1,-1,0,1
FM-DPSP01-TR-L,normal,61,1,60,0,1
FM-DPSP01-TR-M,normal,60,1,59,0,1
FM-DPSP01-TR-S,normal,52,1,51,0,1
FM-DPSP01-TR-XL,normal,100,1,99,0,1
FM-APSP02-NN-XL,normal,0,1,-1,0,1
FM-APSP02-NN-S,normal,13,1,12,0,1
FM-APSP02-NN-L,normal,28,1,27,0,1
FM-APSP02-TN-XL,normal,48,1,47,0,1
