platform,issue_type,sku,sapo_available,platform_available
pancake,inventory_diff,FM-ACNB01-LG-XL-FM-QNTG01-DG-S,-2,0
pancake,inventory_diff,FM-ACNB01-LG-XL-FM-QNTG01-DG-XL,-2,0
pancake,inventory_diff,FM-ACNB01-TR-L,10,11
pancake,inventory_diff,FM-ACRT01-MB-L-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACRT01-MB-M-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACRT01-MB-S-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACRT01-MB-XL-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACRT01-XN-L-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACRT01-XN-M-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACRT01-XN-S-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACRT01-XN-XL-FM-QDZT01-XX-M,-2,0
pancake,inventory_diff,FM-ACSP01-NT-S,-2,0
pancake,inventory_diff,FM-ACSP01-NT-S-FM-VVSP01-NT-L,-2,0
pancake,inventory_diff,FM-ACSP01-NT-S-FM-VVSP01-NT-M,-2,0
pancake,inventory_diff,FM-ACSP01-NT-S-FM-VVSP01-NT-S,-2,0
pancake,inventory_diff,FM-ACSP01-NT-S-FM-VVSP01-NT-XL,-2,0
pancake,inventory_diff,FM-ACSP01-TR-L,-5,0
pancake,inventory_diff,FM-ACSP01-TR-L-FM-VVSP01-TR-L,-5,0
pancake,inventory_diff,FM-ACSP01-TR-L-FM-VVSP01-TR-M,-5,0
pancake,inventory_diff,FM-ACSP01-TR-L-FM-VVSP01-TR-S,-5,0
pancake,inventory_diff,FM-ACSP01-TR-L-FM-VVSP01-TR-XL,-5,0
pancake,inventory_diff,FM-ACSP01-TR-M,-6,0
pancake,inventory_diff,FM-ACSP01-TR-M-FM-VVSP01-TR-L,-6,0
pancake,inventory_diff,FM-ACSP01-TR-M-FM-VVSP01-TR-M,-6,0
pancake,inventory_diff,FM-ACSP01-TR-M-FM-VVSP01-TR-S,-6,0
pancake,inventory_diff,FM-ACSP01-TR-M-FM-VVSP01-TR-XL,-6,0
pancake,inventory_diff,FM-ACSP01-TR-S,-2,0
